host_response_rate,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,property_type,room_type,accommodates,price,number_of_reviews,review_scores_rating,Prices per Person,,,number_of_reviews
100,96,t,"Athens, Attica, Greece",37.98863,23.76527,Entire apartment,Entire home/apt,8,74,25,97,9.25,,,25
100,96,t,"Athens, Attica, Greece",37.98903,23.76448,Entire apartment,Entire home/apt,4,50,44,98,12.5,,,44
100,96,t,"Athens, Attica, Greece",37.98888,23.76473,Entire apartment,Entire home/apt,2,40,58,97,20,,,58
100,96,t,"Athens, Attica, Greece",37.98903,23.76448,Entire apartment,Entire home/apt,4,50,23,96,12.5,,,23
100,96,t,,37.98924,23.765,Entire apartment,Entire home/apt,4,50,17,95,12.5,,,17
100,100,t,"Athens, Attica, Greece",37.97545,23.72892,Entire loft,Entire home/apt,4,58,455,96,14.5,,,455
,,f,,37.97962,23.71589,Private room in apartment,Private room,1,39,,,39,,,0
0,,f,"Athens, Αττική, Greece",38.00673,23.72775,Entire apartment,Entire home/apt,5,40,71,94,8,,,71
100,,t,"Athens, Αττική, Greece",37.9767,23.73064,Entire apartment,Entire home/apt,7,120,121,93,17.14285714,,,121
,,f,,37.96811,23.74345,Entire apartment,Entire home/apt,2,70,,100,35,,,3
100,,f,"Athens, Attica, Greece",37.99095,23.72195,Entire apartment,Entire home/apt,6,56,331,95,9.333333333,,,331
67,,f,"Athens, Attica, Greece",37.96543,23.74025,Entire apartment,Entire home/apt,3,28,,98,9.333333333,,,9
100,97,t,"Athens, Attica, Greece",37.99429,23.70901,Entire apartment,Entire home/apt,2,26,458,96,13,,,458
0,,f,"Athina, Greece",37.96384,23.72402,Entire apartment,Entire home/apt,4,60,,93,15,,,8
,,f,,37.96403,23.74407,Entire house,Entire home/apt,4,45,21,88,11.25,,,21
,,f,,37.99183,23.7298,Entire apartment,Entire home/apt,4,75,,,18.75,,,0
,,f,"Athens, Attica, Greece",37.98397,23.73405,Entire loft,Entire home/apt,3,32,250,99,10.66666667,,,250
,,f,"Athens, Attica, Greece",37.97267,23.72672,Entire apartment,Entire home/apt,3,65,122,94,21.66666667,,,122
100,100,f,,38.00172,23.74866,Entire apartment,Entire home/apt,5,48,29,94,9.6,,,29
100,,f,,37.97857,23.74262,Entire apartment,Entire home/apt,2,40,,100,20,,,6
100,100,f,,38.00172,23.74866,Entire apartment,Entire home/apt,7,60,41,96,8.571428571,,,41
,,t,"Athens, Greece",37.96783,23.7497,Entire apartment,Entire home/apt,4,52,59,99,13,,,59
100,0,f,"Athens, Attica, Greece",37.96937,23.7417,Entire apartment,Entire home/apt,5,34,41,89,6.8,,,41
0,27,f,"Athina, Greece",37.97787,23.73829,Entire apartment,Entire home/apt,2,11,39,88,5.5,,,39
,100,f,"Athens, Attica, Greece",37.98652,23.73528,Entire apartment,Entire home/apt,4,55,175,94,13.75,,,175
83,100,t,,37.96791,23.72933,Entire apartment,Entire home/apt,3,60,27,97,20,,,27
100,100,t,"Athens, Attica, Greece",37.966,23.74443,Entire apartment,Entire home/apt,6,46,171,93,7.666666667,,,171
,,f,,38.00876,23.73967,Entire apartment,Entire home/apt,4,74,,,18.5,,,0
100,100,f,"Athens, Attica, Greece",37.97537,23.73337,Entire apartment,Entire home/apt,4,35,112,82,8.75,,,112
,,f,,37.97858,23.70967,Private room in apartment,Private room,2,30,,,15,,,0
100,100,f,"Athens, Attica, Greece",37.97503,23.73236,Entire apartment,Entire home/apt,2,36,47,83,18,,,47
100,,f,"Athens, Attica, Greece",37.97846,23.70955,Private room in apartment,Private room,1,32,12,98,32,,,12
98,98,f,,37.96101,23.73623,Entire apartment,Entire home/apt,8,84,164,92,10.5,,,164
100,100,t,"Athens, Attica, Greece",37.97952,23.72367,Entire apartment,Entire home/apt,4,75,74,98,18.75,,,74
0,,f,,38.01719,23.74506,Entire apartment,Entire home/apt,4,126,,97,31.5,,,1
78,67,f,,37.9858,23.72328,Entire apartment,Entire home/apt,8,20,32,95,2.5,,,32
95,98,t,"Athens, Attica, Greece",37.9802,23.72357,Entire apartment,Entire home/apt,4,46,19,95,11.5,,,19
95,98,t,"Athens, Attica, Greece",37.9802,23.72357,Entire apartment,Entire home/apt,4,50,,100,12.5,,,7
0,17,f,"Athens, Attica, Greece",37.97776,23.74384,Entire apartment,Entire home/apt,2,45,24,91,22.5,,,24
50,20,f,,37.9657,23.7301,Entire apartment,Entire home/apt,3,70,64,97,23.33333333,,,64
100,100,f,,37.99253,23.73115,Entire apartment,Entire home/apt,8,45,57,92,5.625,,,57
100,,f,"Athens, Attica, Greece",37.97607,23.74075,Entire cottage,Entire home/apt,4,80,33,96,20,,,33
100,99,t,"Athens, Attica, Greece",37.97652,23.72443,Entire apartment,Entire home/apt,2,236,439,100,118,,,439
100,100,f,"Athens, Greece",37.98729,23.74311,Entire apartment,Entire home/apt,2,58,,90,29,,,2
,,f,"Athens, Attica, Greece",37.98018,23.72182,Entire apartment,Entire home/apt,4,72,63,96,18,,,63
,,f,,38.00642,23.73224,Entire apartment,Entire home/apt,4,57,21,94,14.25,,,21
100,100,t,"Athens, Attica, Greece",37.97774,23.73,Entire apartment,Entire home/apt,8,49,195,93,6.125,,,195
100,100,t,"Athens, Attica, Greece",37.96856,23.72572,Entire apartment,Entire home/apt,3,65,431,98,21.66666667,,,431
,,f,"Athens, Attica, Greece",37.98209,23.72017,Entire apartment,Entire home/apt,3,50,169,97,16.66666667,,,169
100,94,f,,37.99338,23.77155,Entire apartment,Entire home/apt,5,29,326,87,5.8,,,326
,,f,"Athens, Attica, Greece",37.97515,23.75387,Entire apartment,Entire home/apt,4,80,31,81,20,,,31
,,f,"Athens, Attica, Greece",37.99452,23.72941,Entire apartment,Entire home/apt,3,45,24,99,15,,,24
100,100,f,"Athens, Attica, Greece",37.9916,23.72902,Entire apartment,Entire home/apt,5,55,64,97,11,,,64
100,100,f,,38.00175,23.7486,Entire apartment,Entire home/apt,8,1807,56,96,225.875,,,56
100,100,f,"Athens, Attica, Greece",37.97665,23.7185,Entire apartment,Entire home/apt,4,76,60,95,19,,,60
100,100,f,"Athens, Attica, Greece",37.97598,23.71932,Entire apartment,Entire home/apt,4,45,16,97,11.25,,,16
100,100,t,,37.97952,23.72999,Entire apartment,Entire home/apt,4,50,247,95,12.5,,,247
,,f,"Athens, Attica, Greece",37.9763,23.72455,Entire bed and breakfast,Entire home/apt,3,120,,,40,,,1
100,60,t,"Athens, Attica, Greece",37.9945,23.73907,Entire apartment,Entire home/apt,4,23,51,98,5.75,,,51
100,100,f,,37.97289,23.72874,Entire house,Entire home/apt,5,125,233,98,25,,,233
100,,f,"Athens, Attica, Greece",37.96716,23.72676,Entire apartment,Entire home/apt,3,64,10,100,21.33333333,,,10
95,98,t,"Athens, Attica, Greece",37.9802,23.72357,Entire apartment,Entire home/apt,4,46,,90,11.5,,,6
95,98,t,"Athens, Attica, Greece",37.9802,23.72357,Entire apartment,Entire home/apt,8,97,,98,12.125,,,8
100,100,f,,37.97273,23.72912,Entire apartment,Entire home/apt,3,80,15,100,26.66666667,,,15
80,100,f,"Athens, Attica, Greece",37.96367,23.71791,Entire apartment,Entire home/apt,4,30,97,91,7.5,,,97
95,98,t,"Athens, Attica, Greece",37.9802,23.72357,Entire apartment,Entire home/apt,16,243,22,96,15.1875,,,22
95,98,t,"Athens, Attica, Greece",37.9802,23.72357,Entire apartment,Entire home/apt,4,46,,100,11.5,,,4
95,98,t,"Athens, Attica, Greece",37.9802,23.72357,Entire apartment,Entire home/apt,4,46,16,98,11.5,,,16
95,98,t,"Athens, Attica, Greece",37.96648,23.7276,Entire apartment,Entire home/apt,2,62,30,94,31,,,30
95,98,t,"Athens, Attica, Greece",37.97506,23.73068,Entire apartment,Entire home/apt,3,88,32,97,29.33333333,,,32
,,f,,37.96829,23.7111,Entire apartment,Entire home/apt,5,60,13,98,12,,,13
100,96,f,"Athens, Greece",37.96651,23.7482,Entire condominium,Entire home/apt,12,298,11,95,24.83333333,,,11
100,97,t,"Athens, Attica, Greece",37.97538,23.73264,Entire apartment,Entire home/apt,3,16,353,96,5.333333333,,,353
100,96,f,,37.96879,23.75065,Entire condominium,Entire home/apt,8,189,10,93,23.625,,,10
,,f,,37.97617,23.72257,Entire apartment,Entire home/apt,6,100,,87,16.66666667,,,9
100,100,f,"Athens, Attica, Greece",38.02512,23.73536,Entire apartment,Entire home/apt,4,28,246,93,7,,,246
,,f,,37.96148,23.73122,Entire apartment,Entire home/apt,4,50,,93,12.5,,,4
100,100,t,,37.96691,23.72823,Entire apartment,Entire home/apt,4,70,169,99,17.5,,,169
,,f,,37.97763,23.73473,Entire villa,Entire home/apt,6,600,,,100,,,0
100,100,t,"Athens, Attica, Greece",37.97698,23.71008,Entire apartment,Entire home/apt,5,27,241,100,5.4,,,241
95,98,t,"Athens, Attica, Greece",37.98013,23.72354,Entire apartment,Entire home/apt,8,97,25,96,12.125,,,25
100,71,t,,37.98904,23.73742,Entire condominium,Entire home/apt,2,44,31,99,22,,,31
100,100,t,"Athens, Attiki, Greece",37.9643,23.73658,Private room in apartment,Private room,2,22,104,96,11,,,104
100,100,t,"Athina, Greece",37.96615,23.73463,Entire apartment,Entire home/apt,6,60,57,95,10,,,57
100,100,f,"Athens, Attiki, Greece",37.96341,23.72875,Entire condominium,Entire home/apt,5,80,220,97,16,,,220
100,,t,"Athens, Attica, Greece",37.98904,23.73985,Entire apartment,Entire home/apt,3,38,83,92,12.66666667,,,83
100,96,t,"Athens, Attica, Greece",38.0011,23.71626,Entire apartment,Entire home/apt,4,45,447,98,11.25,,,447
100,100,f,"Athens, Attica, Greece",37.97385,23.71567,Entire apartment,Entire home/apt,5,55,120,94,11,,,120
100,96,f,"Athens, Greece",37.96483,23.71825,Entire apartment,Entire home/apt,8,42,287,97,5.25,,,287
100,96,f,"Athens, Greece",37.96755,23.75163,Entire condominium,Entire home/apt,12,294,,97,24.5,,,6
100,100,f,,37.99252,23.73112,Entire apartment,Entire home/apt,8,41,16,96,5.125,,,16
100,100,f,,37.97338,23.71537,Private room in apartment,Private room,1,25,,95,25,,,4
100,100,t,,38.01501,23.72582,Entire apartment,Entire home/apt,4,23,425,96,5.75,,,425
100,100,f,"Athens, Attica, Greece",37.96599,23.72681,Entire apartment,Entire home/apt,4,50,86,95,12.5,,,86
100,100,t,"Athens, Attica, Greece",38.00259,23.73281,Entire apartment,Entire home/apt,2,45,172,92,22.5,,,172
100,,f,,37.98116,23.72286,Entire apartment,Entire home/apt,4,59,73,84,14.75,,,73
